type,beat,position,pitch,duration,instrument,timesignaturenumerator,timesignaturedenominator,tempo,velocity
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,1,1,39,17,36,3,3,3,4
3,1,1,61,14,39,3,3,3,4
3,1,1,67,14,39,3,3,3,4
3,2,1,61,5,15,3,3,3,4
3,2,1,63,5,15,3,3,3,4
3,2,1,67,5,15,3,3,3,4
3,2,7,61,5,39,3,3,3,4
3,2,7,65,5,39,3,3,3,4
3,3,1,43,5,36,3,3,3,4
3,3,1,61,17,15,3,3,3,4
3,3,1,61,17,39,3,3,3,4
3,3,1,63,17,15,3,3,3,4
3,3,1,63,17,39,3,3,3,4
3,3,1,67,17,15,3,3,3,4
3,4,1,46,5,36,3,3,3,4
3,5,1,39,17,36,3,3,3,4
3,5,1,67,14,39,3,3,3,4
3,5,1,70,14,39,3,3,3,4
3,6,1,61,5,15,3,3,3,4
3,6,1,63,5,15,3,3,3,4
3,6,1,70,5,15,3,3,3,4
3,6,7,65,5,39,3,3,3,4
3,6,7,68,5,39,3,3,3,4
3,7,1,44,5,36,3,3,3,4
3,7,1,61,17,15,3,3,3,4
3,7,1,63,17,15,3,3,3,4
3,7,1,63,17,39,3,3,3,4
3,7,1,67,17,39,3,3,3,4
3,7,1,70,17,15,3,3,3,4
3,8,1,48,5,36,3,3,3,4
3,9,1,43,5,36,3,3,3,4
3,9,1,73,5,39,3,3,3,4
3,9,1,75,5,39,3,3,3,4
3,10,1,44,5,36,3,3,3,4
3,10,1,70,5,39,3,3,3,4
3,10,1,70,11,15,3,3,3,4
3,10,1,73,5,39,3,3,3,4
3,10,1,73,11,15,3,3,3,4
3,10,1,75,11,15,3,3,3,4
3,11,1,46,5,36,3,3,3,4
3,11,1,67,5,39,3,3,3,4
3,11,1,70,5,39,3,3,3,4
3,12,1,48,5,36,3,3,3,4
3,12,1,61,11,15,3,3,3,4
3,12,1,63,5,39,3,3,3,4
3,12,1,63,11,15,3,3,3,4
3,12,1,67,5,39,3,3,3,4
3,12,1,70,11,15,3,3,3,4
3,13,1,49,5,36,3,3,3,4
3,13,1,61,5,39,3,3,3,4
3,13,1,61,11,15,3,3,3,4
3,13,1,63,5,39,3,3,3,4
3,13,1,63,11,15,3,3,3,4
3,13,1,67,11,15,3,3,3,4
3,15,1,39,17,36,3,3,3,4
3,15,1,58,17,15,3,3,3,4
3,15,1,61,5,39,3,3,3,4
3,15,1,61,17,15,3,3,3,4
3,15,1,63,17,15,3,3,3,4
3,15,1,65,5,39,3,3,3,4
3,16,1,61,5,39,3,3,3,4
3,16,1,67,5,39,3,3,3,4
3,17,1,44,11,36,3,3,3,4
3,17,1,60,14,39,3,3,3,4
3,17,1,68,14,39,3,3,3,4
3,18,1,63,11,15,3,3,3,4
3,18,1,68,11,15,3,3,3,4
3,18,1,72,11,15,3,3,3,4
3,18,7,63,5,39,3,3,3,4
3,18,7,70,5,39,3,3,3,4
3,19,1,39,11,36,3,3,3,4
3,19,1,68,19,39,3,3,3,4
3,19,1,72,19,39,3,3,3,4
3,20,1,63,11,15,3,3,3,4
3,20,1,68,11,15,3,3,3,4
3,20,1,72,11,15,3,3,3,4
3,21,1,44,11,36,3,3,3,4
3,21,1,63,11,15,3,3,3,4
3,21,1,68,11,15,3,3,3,4
3,21,1,72,11,15,3,3,3,4
3,22,1,63,5,39,3,3,3,4
3,22,1,68,5,39,3,3,3,4
3,23,1,48,17,36,3,3,3,4
3,23,1,63,17,15,3,3,3,4
3,23,1,68,5,39,3,3,3,4
3,23,1,68,17,15,3,3,3,4
3,23,1,72,5,39,3,3,3,4
3,23,1,72,17,15,3,3,3,4
3,24,1,72,5,39,3,3,3,4
3,24,1,75,5,39,3,3,3,4
3,25,1,44,11,36,3,3,3,4
3,25,1,73,14,39,3,3,3,4
3,25,1,77,14,39,3,3,3,4
3,26,1,63,11,15,3,3,3,4
3,26,1,68,11,15,3,3,3,4
3,26,1,72,11,15,3,3,3,4
3,26,7,68,5,39,3,3,3,4
3,26,7,72,5,39,3,3,3,4
3,27,1,39,11,36,3,3,3,4
3,27,1,72,19,39,3,3,3,4
3,27,1,75,19,39,3,3,3,4
3,28,1,63,11,15,3,3,3,4
3,28,1,68,11,15,3,3,3,4
3,28,1,72,11,15,3,3,3,4
3,29,1,44,11,36,3,3,3,4
3,29,1,63,11,15,3,3,3,4
3,29,1,68,11,15,3,3,3,4
3,29,1,72,11,15,3,3,3,4
3,30,1,72,5,39,3,3,3,4
3,30,1,75,5,39,3,3,3,4
3,31,1,48,17,36,3,3,3,4
3,31,1,63,17,15,3,3,3,4
3,31,1,68,17,15,3,3,3,4
3,31,1,71,5,39,3,3,3,4
3,31,1,72,17,15,3,3,3,4
3,31,1,74,5,39,3,3,3,4
3,32,1,72,5,39,3,3,3,4
3,32,1,75,5,39,3,3,3,4
3,33,1,44,11,36,3,3,3,4
3,33,1,68,17,39,3,3,3,4
3,33,1,72,17,39,3,3,3,4
3,34,1,63,11,15,3,3,3,4
3,34,1,68,11,15,3,3,3,4
3,34,1,72,11,15,3,3,3,4
3,35,1,39,11,36,3,3,3,4
3,35,1,63,14,39,3,3,3,4
3,35,1,67,14,39,3,3,3,4
3,36,1,63,11,15,3,3,3,4
3,36,1,68,11,15,3,3,3,4
3,36,1,72,11,15,3,3,3,4
3,36,7,63,5,39,3,3,3,4
3,36,7,68,5,39,3,3,3,4
3,37,1,44,11,36,3,3,3,4
3,37,1,73,5,39,3,3,3,4
3,37,1,77,5,39,3,3,3,4
3,38,1,63,11,15,3,3,3,4
3,38,1,68,11,15,3,3,3,4
3,38,1,72,5,39,3,3,3,4
3,38,1,72,11,15,3,3,3,4
3,38,1,75,5,39,3,3,3,4
3,39,1,39,11,36,3,3,3,4
3,39,1,70,5,39,3,3,3,4
3,39,1,73,5,39,3,3,3,4
3,40,1,63,11,15,3,3,3,4
3,40,1,68,5,39,3,3,3,4
3,40,1,68,11,15,3,3,3,4
3,40,1,72,5,39,3,3,3,4
3,40,1,72,11,15,3,3,3,4
3,41,1,39,17,36,3,3,3,4
3,41,1,67,23,39,3,3,3,4
3,41,1,72,23,39,3,3,3,4
3,42,1,63,11,15,3,3,3,4
3,42,1,67,11,15,3,3,3,4
3,42,1,72,11,15,3,3,3,4
3,43,1,43,12,36,3,3,3,4
3,43,1,63,11,15,3,3,3,4
3,43,1,67,11,15,3,3,3,4
3,43,1,72,11,15,3,3,3,4
3,44,1,44,12,36,3,3,3,4
3,44,1,63,11,15,3,3,3,4
3,44,1,67,11,15,3,3,3,4
3,44,1,72,11,15,3,3,3,4
3,45,1,46,11,36,3,3,3,4
3,45,1,63,11,15,3,3,3,4
3,45,1,67,5,39,3,3,3,4
3,45,1,67,11,15,3,3,3,4
3,45,1,70,5,39,3,3,3,4
3,45,1,70,11,15,3,3,3,4
3,47,1,39,17,36,3,3,3,4
3,47,1,63,17,15,3,3,3,4
3,47,1,67,17,15,3,3,3,4
3,47,1,70,17,15,3,3,3,4
3,49,1,46,11,36,3,3,3,4
3,49,1,63,14,39,3,3,3,4
3,49,1,67,14,39,3,3,3,4
3,50,1,63,11,15,3,3,3,4
3,50,1,67,11,15,3,3,3,4
3,50,1,70,11,15,3,3,3,4
3,50,7,67,5,39,3,3,3,4
3,50,7,70,5,39,3,3,3,4
3,51,1,39,11,36,3,3,3,4
3,51,1,67,19,39,3,3,3,4
3,51,1,75,19,39,3,3,3,4
3,52,1,63,11,15,3,3,3,4
3,52,1,67,11,15,3,3,3,4
3,52,1,70,11,15,3,3,3,4
3,53,1,46,11,36,3,3,3,4
3,53,1,63,11,15,3,3,3,4
3,53,1,67,11,15,3,3,3,4
3,53,1,70,11,15,3,3,3,4
3,54,1,67,5,39,3,3,3,4
3,54,1,75,5,39,3,3,3,4
