Start of song
Instrument: piano
Start of notes
Note: beat=0, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=0, position=0, pitch=C4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=0, position=0, pitch=F#4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=1, position=0, pitch=C4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=1, position=0, pitch=D4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=1, position=0, pitch=F#4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=1, position=6, pitch=C4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=1, position=6, pitch=E4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=F#2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=C4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=C4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=D4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=2, position=0, pitch=F#4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=3, position=0, pitch=A2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=4, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=4, position=0, pitch=F#4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=4, position=0, pitch=A4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=5, position=0, pitch=C4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=5, position=0, pitch=D4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=5, position=0, pitch=A4, duration=5, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=5, position=6, pitch=E4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=5, position=6, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=G2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=C4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=D4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=F#4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=6, position=0, pitch=A4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=7, position=0, pitch=B2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=8, position=0, pitch=F#2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=8, position=0, pitch=C5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=8, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=G2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
