Start of song
Instrument: None
Start of notes
Note: beat=0, position=0, pitch=F3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=F3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=G4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=6, pitch=C#5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=0, position=0, pitch=D3, duration=11, instrument=violinnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=24, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=24, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
